dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,524288,-1,0.015685,133700064.590736,7.479428,1776.133545,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1048576,-1,0.028398,147697743.328082,6.770584,1725.734985,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1048576,-1,0.029093,144170877.433563,6.936214,1728.480469,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1048576,-1,0.030751,136393954.143088,7.331703,1710.105713,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1048576,-1,0.029483,142260260.391876,7.029370,1706.790894,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2097152,-1,0.056512,148439097.753099,6.736770,1721.634155,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2097152,-1,0.058275,143949576.911334,6.946877,1720.204468,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2097152,-1,0.055183,152015259.678721,6.578287,1704.090088,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2097152,-1,0.055165,152064119.315479,6.576173,1729.540405,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4194304,-1,0.109219,153610425.416885,6.509975,1731.878662,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4194304,-1,0.108071,155242404.713446,6.441539,1693.861084,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4194304,-1,0.109249,153568127.523747,6.511768,1686.656250,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4194304,-1,0.110714,151537103.736353,6.599044,1702.348633,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8388608,-1,0.212946,157572775.463678,6.346274,1709.166870,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8388608,-1,0.221921,151200006.239908,6.613756,1675.629028,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8388608,-1,0.212684,157766620.476858,6.338476,1673.705078,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8388608,-1,0.216980,154643192.248428,6.466499,1700.066284,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16777216,-1,0.427906,156830965.076631,6.376292,1701.649170,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16777216,-1,0.435271,154177104.048393,6.486047,1704.371582,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16777216,-1,0.431111,155665098.863069,6.424048,1734.060425,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16777216,-1,0.428961,156445007.675044,6.392022,1738.893799,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,33554432,-1,0.846769,158505652.447272,6.308923,1703.647949,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,33554432,-1,0.862732,155572944.230484,6.427853,1700.739380,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,33554432,-1,0.849598,157977942.198645,6.329998,1692.811035,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,33554432,-1,0.859463,156164679.740237,6.403497,1713.229248,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,67108864,-1,1.673561,160397792.205144,6.234500,1698.182373,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,67108864,-1,1.681363,159653489.201505,6.263565,1689.214233,19.991576,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,67108864,-1,1.696520,158227096.406052,6.320030,1706.402954,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,67108864,-1,1.713808,156630965.219176,6.384434,1718.494141,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1,-2,0.000496,8058.862031,124086.998403,1734.467163,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1,-2,0.000477,8394.067816,119131.751359,1712.591187,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1,-2,0.000478,8373.684002,119421.750307,1739.320435,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1,-2,0.000465,8602.760827,116241.753101,1713.541382,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2,-2,0.000534,14968.435828,66807.247698,1729.958374,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2,-2,0.000490,16341.637815,61193.376780,1709.186523,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2,-2,0.037854,211.336574,4731788.635254,1764.235962,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2,-2,0.000454,17629.805515,56722.123176,1721.459717,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4,-2,0.004204,3805.941884,262747.049332,1707.310547,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4,-2,0.001493,10719.169069,93290.813267,1728.692383,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4,-2,0.000497,32188.107202,31067.375094,1678.466187,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4,-2,0.000497,32190.114359,31065.437943,1702.884033,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8,-2,0.000470,68144.987236,14674.593695,1705.455688,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8,-2,0.000530,60384.424316,16560.561955,1711.360107,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8,-2,0.000489,65422.548739,15285.249799,1738.730713,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8,-2,0.007585,4218.594933,237045.750022,1738.915771,19.991576,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16,-2,0.000442,144699.146319,6910.890806,1673.548462,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16,-2,0.001420,45085.915787,22179.875523,1707.713257,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16,-2,0.000523,122399.491042,8169.968612,1688.136475,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16,-2,0.000470,136188.468773,7342.765573,1716.727905,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32,-2,0.000480,266612.790981,3750.757780,1696.669800,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32,-2,0.000453,282649.939103,3537.945217,1703.049927,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32,-2,0.000494,259000.785813,3860.992147,1720.518921,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32,-2,0.000480,266773.937895,3748.492105,1693.043701,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,64,-2,0.000460,556670.570865,1796.394587,1734.442627,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,64,-2,0.000471,542974.522544,1841.707039,1728.302124,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,64,-2,0.005487,46658.521508,21432.312205,1717.778320,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,64,-2,0.009369,27323.482571,36598.555744,1724.910889,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,128,-2,0.000510,1004063.342268,995.953102,1713.789673,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,128,-2,0.000492,1041270.518746,960.365229,1686.345337,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,128,-2,0.000481,1065297.345108,938.705052,1784.290039,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,128,-2,0.001344,381056.993252,2624.279354,1741.848755,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,256,-2,0.000587,1745120.399394,573.026366,1763.309692,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,256,-2,0.000490,2089936.717986,478.483387,1678.603638,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,256,-2,0.000470,2178273.820740,459.079107,1689.380615,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,256,-2,0.000498,2056026.697435,486.375007,1703.004028,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,512,-2,0.000642,3189335.801653,313.544908,1733.968018,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,512,-2,0.001580,1296240.247208,771.461928,1707.456177,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,512,-2,0.000821,2493173.533528,401.095225,1714.851685,20.122648,0.000000
