dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2,-2,0.002779,1439.148610,694855.272770,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4,-2,0.002451,3263.965984,306375.741959,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4,-2,0.002501,3198.276685,312668.383121,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8,-2,0.003327,4809.153355,207936.808467,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8,-2,0.002982,5366.365092,186345.875263,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16,-2,0.003485,9183.339982,108892.843127,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16,-2,0.002883,11099.460441,90094.469488,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,32,-2,0.003262,19619.215024,50970.438868,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,32,-2,0.003878,16502.896601,60595.422983,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,64,-2,0.004032,31748.392920,31497.657299,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,64,-2,0.003897,32841.928416,30448.881909,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,128,-2,0.004283,59777.444389,16728.717834,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,128,-2,0.004576,55945.073529,17874.674872,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,256,-2,0.006179,82859.828655,12068.574317,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,256,-2,0.005864,87307.561002,11453.761719,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,512,-2,0.010556,97004.743896,10308.774188,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,512,-2,0.009606,106595.153043,9381.289594,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1024,-2,0.023923,85606.591921,11681.343429,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1024,-2,0.024466,83709.616205,11946.058832,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2048,-2,0.024764,165404.039355,6045.801565,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2048,-2,0.024447,167548.665788,5968.415178,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4096,-2,0.025076,326681.029789,3061.089898,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4096,-2,0.024044,340704.962090,2935.090801,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8192,-2,0.026653,614722.170800,1626.751153,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8192,-2,0.025772,635719.115694,1573.021756,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16384,-2,0.032134,1019724.106378,980.657409,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16384,-2,0.032997,993048.445179,1007.000217,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,32768,-2,0.048182,1360181.406194,735.196052,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,32768,-2,0.048743,1344529.366060,743.754674,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,65536,-2,0.085774,1528109.665385,654.403295,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,65536,-2,0.085901,1525851.946471,655.371579,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,131072,-2,0.160575,1632532.494723,612.545235,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,131072,-2,0.161530,1622883.203758,616.187288,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,262144,-2,0.331069,1583621.248008,631.464121,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,262144,-2,0.326438,1606088.485118,622.630701,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,524288,-2,0.664401,1578226.879282,633.622461,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,524288,-2,0.662493,1582773.724651,631.802250,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1048576,-2,1.271725,1649060.319688,606.405956,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1048576,-2,1.266088,1656403.173531,603.717752,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2097152,-2,2.511387,1670114.424513,598.761369,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2097152,-2,2.517999,1665729.324874,600.337633,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4194304,-2,5.004852,1676095.263814,596.624799,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4194304,-2,5.005737,1675798.849933,596.730330,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8388608,-2,10.011705,1675760.109700,596.744125,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8388608,-2,10.011942,1675720.390561,596.758269,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16777216,-2,20.009729,1676905.909733,596.336380,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16777216,-2,20.011605,1676748.627310,596.392318,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,33554432,-2,40.041156,1675997.156051,596.659724,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,33554432,-2,40.039941,1676048.007141,596.641621,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,67108864,-2,80.084508,1675951.212864,596.676080,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,67108864,-2,80.078148,1676084.307878,596.628699,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,1,-3,0.000102,78245.730410,12780.250050,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,1,-3,0.000089,89836.160520,11131.375097,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,1,-3,0.000090,89154.372043,11216.499843,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,1,-3,0.000091,88269.044947,11328.999884,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,1,-3,0.000089,89634.853335,11156.374589,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,1,-3,0.000090,89324.593945,11195.125058,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,1,-3,0.000091,87458.457344,11433.999985,0.000000,268.435456,0.000000
