dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,1.009277,1063872175.852970,0.939963,25.656475,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.939853,1142456792.829094,0.875307,25.644386,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,1.033902,1038533607.731255,0.962896,25.578476,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.870197,1233906399.202655,0.810434,25.424454,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,1.001553,1072077042.255063,0.932769,25.574503,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.910121,1179778839.705683,0.847616,25.541475,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.882718,1216404361.696695,0.822095,25.529514,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.912954,1176118471.985819,0.850254,25.499205,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.903606,1188285704.876641,0.841548,25.561924,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.053664,1019055655.213418,0.981301,29.419109,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.033541,1038896190.637088,0.962560,29.707047,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.020942,1051717131.521839,0.950826,29.476303,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,0.953566,1126028328.121390,0.888077,29.460930,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,0.964637,1113104653.092443,0.898388,29.614162,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,0.990424,1084123377.285674,0.922404,29.417480,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.123544,955673766.479304,1.046382,29.639975,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,0.961617,1116600784.050600,0.895575,29.476913,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.189957,902336820.657427,1.108234,29.567783,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,0.973265,1103236498.957888,0.906424,29.608795,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.125810,953750840.563518,1.048492,29.623936,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.154028,930429747.183882,1.074772,29.570923,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.305979,822174033.054486,1.216288,29.649445,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.049274,1023319004.250871,0.977212,29.558121,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,0.984261,1090911292.239717,0.916665,29.511013,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,5000000,262144,67108864,-1,1.062409,1010667046.088848,0.989446,29.659897,336.357760,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,0.961003,1117314143.179956,0.895003,34.623581,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,0.985035,1090054586.695477,0.917385,33.258648,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,0.996184,1077854631.494944,0.927769,33.687866,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,0.967524,1109783646.484908,0.901077,33.312859,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,0.935085,1148283085.889126,0.870865,33.507771,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,1.029548,1042925489.145734,0.958841,33.286598,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,0.969172,1107895907.026399,0.902612,33.456551,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,1.071222,1002352017.862554,0.997654,33.459801,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,1.015356,1057503237.001450,0.945624,33.598621,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,0.994568,1079606782.574820,0.926263,33.555679,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,1.003882,1069589721.615102,0.934938,33.507351,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,1.112053,965548846.277709,1.035680,33.536522,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,1.018322,1054422921.997024,0.948386,33.544731,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,0.913367,1175586866.338082,0.850639,33.302029,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,1.061315,1011708716.338325,0.988427,33.490692,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,6000000,262144,67108864,-1,1.054383,1018360632.952371,0.981970,33.537991,403.621376,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.059112,1013813351.537214,0.986375,37.574612,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.039922,1032521988.366525,0.968502,37.392868,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.181662,908671149.872957,1.100508,37.461861,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.140222,941695271.468734,1.061915,37.409798,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.096296,979427019.229347,1.021005,37.542839,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.093172,982225438.700725,1.018096,37.453228,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,0.975473,1100739364.945176,0.908480,38.580715,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.196581,897341854.067397,1.114402,37.611900,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.084799,989806766.039544,1.010298,37.427177,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.063657,1009481407.044283,0.990608,37.454079,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.084634,989958155.938594,1.010144,37.626190,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.025036,1047516446.728409,0.954639,37.343201,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,0.990573,1083960854.369009,0.922543,37.329338,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.031694,1040756253.843398,0.960840,37.451710,470.888704,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,7000000,262144,67108864,-1,1.120388,958366416.804139,1.043442,37.415779,470.888704,1.115392
