dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015360,69906175017.572723,0.014305,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015345,69971911600.753754,0.014291,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015520,69183109982.451004,0.014454,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015498,69281543555.420563,0.014434,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015390,69768313709.361633,0.014333,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015378,69823254366.876175,0.014322,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015389,69773761508.976486,0.014332,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015358,69915820751.359100,0.014303,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015354,69931536581.676392,0.014300,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015388,69778877161.935226,0.014331,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015409,69681022966.432846,0.014351,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015360,69904764411.029114,0.014305,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015424,69613662187.333542,0.014365,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015334,70022382837.357941,0.014281,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015279,70274396408.336029,0.014230,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015348,69961246154.282608,0.014294,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015378,69821492050.657455,0.014322,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015362,69894939488.174820,0.014307,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015314,70115797057.541611,0.014262,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015499,69276709428.181534,0.014435,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015475,69384785524.493866,0.014412,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015371,69855736744.959656,0.014315,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015332,70030509945.348587,0.014279,0.000000,0.000016,0.000000
