dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000194,21062049.920074,47.478759,161.718933,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000197,20815864.746738,48.040281,162.967361,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000195,20977910.746888,47.669189,173.607178,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000196,20858264.550340,47.942627,162.983627,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000194,21132683.475612,47.320067,163.034531,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000196,20910440.811698,47.822999,161.684631,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000194,42180491.917774,23.707642,161.763885,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000200,41055865.324743,24.357056,162.897919,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000196,41885030.740735,23.874878,161.813507,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000195,41904314.188403,23.863891,174.841431,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000198,41283456.528173,24.222778,163.892807,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000197,41574681.319958,24.053101,159.775955,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000195,41971084.338733,23.825927,162.752411,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000197,41595791.684425,24.040894,162.866608,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000196,41750545.116085,23.951783,164.013687,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000198,41316769.665372,24.203247,160.737579,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000198,41477850.864805,24.109253,163.967651,1073.741828,0
